cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,21,58500,0,0,0,0
0,1,21,58500,0,0,0,0
0,2,21,58500,0,0,0,0
0,3,21,58500,0,9,21500,0
0,4,21,58500,0,9,21500,0
0,5,21,58500,0,0,0,0
0,6,21,58500,0,0,0,0
0,7,21,58500,0,2,6000,0
0,8,21,58500,0,2,6000,0
0,9,21,58500,0,0,0,0
0,10,21,58500,0,0,0,0
1,0,25,62000,36,0,0,0
1,1,25,62000,36,3,8000,7
1,2,25,62000,36,3,8000,7
1,3,25,62000,36,0,0,0
1,4,25,62000,36,0,0,0
1,5,25,62000,36,5,13000,10
1,6,25,62000,36,10,25000,19
1,7,25,62000,36,5,12000,9
1,8,25,62000,36,0,0,0
1,9,11,28000,18,0,0,0
1,10,11,28000,18,0,0,0
2,0,37,99000,75,0,0,0
2,1,37,99000,75,0,0,0
2,2,37,99000,75,12,31500,0
2,3,37,99000,75,12,31500,0
2,4,37,99000,75,4,10000,0
2,5,37,99000,75,6,14000,11
2,6,37,99000,75,6,14000,11
2,7,37,99000,75,6,14000,11
2,8,37,99000,75,13,34000,26
2,9,51,133000,93,21,54000,41
2,10,51,133000,93,15,38000,29
