cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,152,383875,0,65,183704,0
0,1,344,898722,0,118,337915,0
0,2,344,898722,0,147,371089,0
0,3,344,898722,0,141,337914,0
0,4,344,898722,0,131,253129,0
0,5,344,898722,0,102,231626,0
0,6,344,898723,0,137,319483,0
0,7,344,898722,0,40,90930,0
0,8,344,898722,0,108,191690,0
0,9,344,898722,0,77,232241,0
0,10,344,898722,0,79,254360,0
0,11,344,898722,0,60,219340,0
1,0,240,772089,0,16,47922,0
1,1,239,772088,0,1,2457,0
1,2,239,772088,0,39,210124,0
1,3,239,772088,0,0,0,0
1,4,239,772088,0,0,0,0
1,5,239,772088,0,52,326860,0
1,6,240,772089,0,0,0,0
1,7,240,772089,0,51,307199,0
1,8,240,772089,0,35,228555,0
1,9,240,772089,0,62,346521,0
1,10,240,772089,0,17,54066,0
1,11,240,772089,0,0,0,0
2,0,80,385437,0,0,0,0
2,1,80,385437,0,4,8601,0
2,2,80,385437,0,10,20888,0
2,3,80,385437,0,8,15974,0
2,4,80,385437,0,0,0,0
2,5,80,385437,0,20,35635,0
2,6,80,385437,0,4,4915,0
2,7,80,385437,0,0,0,0
2,8,80,385437,0,1,460,0
2,9,80,385437,0,0,0,0
2,10,80,385437,0,0,0,0
2,11,80,385437,0,34,76185,0
3,0,600,1616261,512,10,22118,6
3,1,408,1101413,383,65,162198,70
3,2,408,1101413,383,89,224253,84
3,3,408,1101413,383,69,171873,64
3,4,408,1101413,383,79,215670,94
3,5,408,1101413,383,114,478786,58
3,6,408,1101413,383,9,18534,8
3,7,408,1101413,383,31,53451,4
3,8,408,1101413,383,71,130250,8
3,9,408,1101413,383,44,89699,6
3,10,408,1101413,383,4,9829,2
3,11,408,1101413,383,1,2457,0
