cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,152,383875,0,80,213194,0
0,1,152,383875,0,84,229782,0
0,2,152,383875,0,78,221179,0
0,3,152,383875,0,81,227939,0
0,4,152,383875,0,76,157284,0
0,5,152,383875,0,75,177559,0
0,6,152,383875,0,85,213193,0
0,7,152,383875,0,26,62054,0
0,8,152,383875,0,62,135166,0
0,9,152,383875,0,73,227326,0
0,10,152,383875,0,65,229170,0
0,11,152,383875,0,60,219340,0
1,0,240,772089,0,1,18431,0
1,1,240,772089,0,26,70655,0
1,2,240,772089,0,39,210124,0
1,3,240,772089,0,0,0,0
1,4,240,772089,0,27,54067,0
1,5,240,772089,0,79,380927,0
1,6,240,772089,0,0,0,0
1,7,240,772089,0,51,307199,0
1,8,240,772089,0,35,228555,0
1,9,240,772089,0,62,346521,0
1,10,240,772089,0,27,74341,0
1,11,240,772089,0,0,0,0
2,0,80,385437,0,0,0,0
2,1,80,385437,0,4,8601,0
2,2,80,385437,0,10,20888,0
2,3,80,385437,0,8,15974,0
2,4,80,385437,0,0,0,0
2,5,80,385437,0,20,35635,0
2,6,80,385437,0,4,4915,0
2,7,80,385437,0,0,0,0
2,8,80,385437,0,1,460,0
2,9,80,385437,0,0,0,0
2,10,80,385437,0,0,0,0
2,11,80,385437,0,34,76185,0
3,0,600,1616261,512,10,22118,6
3,1,600,1616261,512,74,202133,70
3,2,600,1616261,512,158,374163,84
3,3,600,1616261,512,129,281848,64
3,4,600,1616261,512,107,257449,94
3,5,600,1616261,512,115,478787,58
3,6,600,1616261,512,61,124824,8
3,7,600,1616261,512,45,82327,4
3,8,600,1616261,512,117,186774,8
3,9,600,1616261,512,48,94614,6
3,10,600,1616261,512,8,14744,2
3,11,600,1616261,512,1,2457,0
