cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,152,383875,0,66,199678,0
0,1,152,383875,0,68,197834,0
0,2,152,383875,0,78,210123,0
0,3,152,383875,0,68,210735,0
0,4,152,383875,0,68,181858,0
0,5,152,383875,0,81,208277,0
0,6,152,383875,0,77,183703,0
0,7,152,383875,0,78,161586,0
0,8,152,383875,0,81,153598,0
0,9,152,383875,0,61,133324,0
0,10,152,383875,0,59,143153,0
0,11,152,383875,0,68,157284,0
0,12,152,383875,0,77,194761,0
0,13,152,383875,0,59,130865,0
0,14,152,383875,0,26,62054,0
0,15,152,383875,0,49,103218,0
0,16,152,383875,0,12,26418,0
0,17,152,383875,0,22,48537,0
0,18,152,383875,0,67,210123,0
0,19,152,383875,0,61,158513,0
0,20,152,383875,0,38,78643,0
0,21,152,383875,0,39,176332,0
0,22,152,383875,0,56,210124,0
0,23,152,383875,0,46,188620,0
1,0,240,772089,0,15,31948,0
1,1,240,772089,0,16,34405,0
1,2,240,772089,0,2,5529,0
1,3,240,772089,0,0,0,0
1,4,240,772089,0,39,210124,0
1,5,240,772089,0,39,210124,0
1,6,240,772089,0,4,4915,0
1,7,240,772089,0,4,4915,0
1,8,240,772089,0,4,4915,0
1,9,240,772089,0,55,313344,0
1,10,240,772089,0,55,313344,0
1,11,240,772089,0,30,194150,0
1,12,240,772089,0,30,194150,0
1,13,240,772089,0,0,0,0
1,14,240,772089,0,51,307199,0
1,15,240,772089,0,12,63896,0
1,16,240,772089,0,1,2457,0
1,17,240,772089,0,62,346521,0
1,18,240,772089,0,62,346521,0
1,19,240,772089,0,0,0,0
1,20,240,772089,0,17,54066,0
1,21,240,772089,0,17,54066,0
1,22,240,772089,0,0,0,0
1,23,240,772089,0,0,0,0
2,0,80,385437,0,0,0,0
2,1,80,385437,0,0,0,0
2,2,80,385437,0,4,8601,0
2,3,80,385437,0,13,27032,0
2,4,80,385437,0,9,18431,0
2,5,80,385437,0,8,15974,0
2,6,80,385437,0,0,0,0
2,7,80,385437,0,0,0,0
2,8,80,385437,0,0,0,0
2,9,80,385437,0,0,0,0
2,10,80,385437,0,20,35635,0
2,11,80,385437,0,4,4915,0
2,12,80,385437,0,4,4915,0
2,13,80,385437,0,0,0,0
2,14,80,385437,0,0,0,0
2,15,80,385437,0,0,0,0
2,16,80,385437,0,1,460,0
2,17,80,385437,0,0,0,0
2,18,80,385437,0,0,0,0
2,19,80,385437,0,0,0,0
2,20,80,385437,0,0,0,0
2,21,80,385437,0,34,76185,0
2,22,80,385437,0,34,76185,0
2,23,80,385437,0,0,0,0
3,0,600,1616261,512,10,22118,6
3,1,600,1616261,512,18,41777,10
3,2,600,1616261,512,84,210735,70
3,3,600,1616261,512,154,353889,84
3,4,600,1616261,512,150,345287,84
3,5,600,1616261,512,124,297979,84
3,6,600,1616261,512,109,262804,88
3,7,600,1616261,512,80,189078,54
3,8,600,1616261,512,106,269737,94
3,9,600,1616261,512,105,269277,94
3,10,600,1616261,512,54,226269,44
3,11,600,1616261,512,60,238046,48
3,12,600,1616261,512,49,128069,48
3,13,600,1616261,512,19,39319,8
3,14,600,1616261,512,44,79870,4
3,15,600,1616261,512,116,185546,4
3,16,600,1616261,512,147,390754,8
3,17,600,1616261,512,72,288764,6
3,18,600,1616261,512,17,38090,6
3,19,600,1616261,512,15,33175,6
3,20,600,1616261,512,3,7372,2
3,21,600,1616261,512,3,7372,2
3,22,600,1616261,512,1,2457,0
3,23,600,1616261,512,0,0,0
